Site,MedianLogRho,MedianRho,rho_T1s,rho_T10s,rho_T100s,Nperiods,Slope_mid_1_100s
SAMTEX.ETO007C.2008,8.503065200937884,318467560.3439744,1084905773.896272,201265227.78142598,28904446.969079442,88,-0.7831166959963332
SAMTEX.ETO008A.2008,8.085837251843747,121853287.85416704,173174202.75336447,42264087.06150489,6976486.053991629,88,-0.7063110858079011
SAMTEX.ETO009A.2008,7.794975437002151,62369955.904026054,43741468.34743932,124925099.64327346,30233441.493438806,88,-0.16303962034671524
SAMTEX.ETO010A.2008,8.223967210471528,167481642.1474994,218400500.77095616,140374689.79705814,75658466.79952693,88,-0.2039192113989883
SAMTEX.ETO011A.2008,7.658508441544008,45552104.02122368,143376750.70549577,68787061.71666768,36044339.77409397,88,-0.30006368824495616
SAMTEX.ETO012A.2008,9.0238612075537,1056479823.9374787,2863568951.86348,1043942099.7384496,575011103.1666034,84,-0.31986965234305736
SAMTEX.ETO013A.2008,9.501423511736844,3172659843.4456115,6710740251.638174,2857333346.5225773,1701739955.225743,88,-0.2685205091176858
SAMTEX.ETO014A.2008,9.427162116570766,2674004393.9949617,6362053202.444307,2600569020.473834,1520194116.2912338,84,-0.2886041715646811
SAMTEX.ETO015A.2008,9.092149764116687,1236373716.767219,2447636230.955195,1109216035.4301066,630800987.531302,88,-0.2532133564342975
SAMTEX.ETO016A.2008,9.591890659990742,3907425082.4691978,9457659947.451649,3744060203.2271295,1281308679.2566838,84,-0.4203616875346277
SAMTEX.ETO017A.2008,9.083913339716634,1213146751.7612743,1549602005.729817,493781729.2104926,220864264.979551,88,-0.48439767332355577
SAMTEX.ETO018A.2008,9.527411819363174,3368308175.1672244,6314985701.415347,2170960355.4490767,665256950.7260307,84,-0.48663163460917924
SAMTEX.ETO019A.2008,8.8119759097417,648598454.8786343,1339618931.371331,726283713.5876122,296598203.4478203,88,-0.3036785484263901
SAMTEX.ETO020A.2008,7.061613580704419,11524274.138797155,13487555.999474458,12686547.067160396,2074843.2469440699,84,-0.3747830002012308
SAMTEX.ETO021A.2008,8.29993023938071,199494184.21974128,356784520.6004665,146912954.55168515,37327131.23885717,88,-0.5485301815061713
SAMTEX.ETO022A.2008,8.19039799936111,155023664.74704528,595710198.239631,204576438.71884355,53610469.69207235,84,-0.5292960139054702
SAMTEX.ETO023A.2008,7.025698789149236,10609594.590851797,18017732.981589925,4793844.765330507,1057912.6588789937,88,-0.7040609508175113
SAMTEX.ETO024A.2008,7.220506575578544,16615238.34424688,29093678.324191216,8932547.37827927,1472493.621079878,84,-0.7010574920338133
SAMTEX.ETO025A.2008,8.495642017893243,313070407.03574103,283684143.2591487,291542918.183422,38887482.05851562,84,-0.43762789331374163
SAMTEX.ETO026A.2008,7.180425034840818,15150432.639668245,9765682.974973217,14969511.048035687,9224343.684546588,84,0.15314718215658038
SAMTEX.GIB001A.2008,7.4822954528789225,30359558.589588378,14021765.43059654,35081977.843493946,119545827.9904995,84,0.5337403827512239
SAMTEX.GIB002A.2008,7.471959561609894,29645553.38522755,13426570.467074433,31958489.57075984,104279530.08191113,88,0.48282748893021
SAMTEX.GIB004A.2008,7.2127301944483095,16320377.290520716,8688201.225284778,23877202.977712415,66996451.07578349,84,0.4679021453815934
SAMTEX.GIB005B.2008,7.299518503952962,19930514.2215066,10637545.990188787,32258591.45665998,67063067.37613345,88,0.4256299009420755
SAMTEX.GIB006A.2008,7.333636069739513,21559370.19029874,10109662.177634012,33623133.99530003,54565469.42549929,84,0.3667339440445768
SAMTEX.GIB007A.2008,7.400476940686623,25146464.91702243,11045998.268157767,39280956.226488374,43676975.576059215,88,0.26690337767436834
SAMTEX.GIB008A.2008,7.572840805418986,37397347.97737823,15737188.80660493,54515719.77143049,44682131.46355148,84,0.13139536676357294
SAMTEX.GIB009A.true.2008,7.49427422226236,31208595.355146784,15890561.606030278,59448566.410168424,35359996.74211151,88,0.1339064881329559
SAMTEX.GIB010A.2008,7.438021631138007,27417107.263826173,13134874.03491823,46098819.77364219,32146279.775299475,84,0.11559381195926373
SAMTEX.GIB011A.2008,7.882605467363643,76314219.58951704,35464524.646667816,139416703.9023955,233609131.35965145,88,0.15565789264283875
SAMTEX.GIB012A.2008,8.088447318605578,122587819.04739673,105077265.03916748,196108484.13156882,123257808.18166764,84,-0.07018435800179208
SAMTEX.GIB013A.2008,7.7918882112162136,61928164.94890369,53719374.13955622,100374060.65607807,61656230.01689467,88,-0.07139809456495205
SAMTEX.GIB014A.2008,8.164585241391261,146078143.69957778,230589285.86626235,244678106.98692957,142189463.39095867,88,-0.22294803457943033
SAMTEX.GIB015A.true.2008,8.303819703756954,201288843.08981055,586986281.474646,355342711.2699106,199108707.07781696,88,-0.32420499199495745
SAMTEX.GIB016A.2008,9.102474444214199,1266118761.3561695,6798991031.355181,2163390404.0617347,1065116094.5021548,88,-0.4969199594376316
SAMTEX.GIB017A.2008,8.77040960720573,589399288.4389154,3286512641.0547347,1106455231.2711093,511634219.90448433,84,-0.49810143024144304
SAMTEX.GIB018a.true.2008,7.8911554639158465,77831511.37797715,368410166.25354874,105696032.18728688,43549677.16164631,84,-0.5674820017106219
