Site,MedianLogRho,MedianRho,rho_T1s,rho_T10s,rho_T100s,Nperiods,Lat,Lon
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-21.368783333333333,25.275277777777777
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-24.646866666666668,24.856194444444444
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-25.230477777777775,25.586194444444445
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-24.484616666666668,23.884166666666665
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-24.88295,25.148055555555555
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-21.30433888888889,26.205555555555556
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-25.064894444444445,25.474166666666665
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-24.016283333333337,25.63360833333333
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-25.871838888888888,25.887777777777774
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-24.421033333333337,23.690361111111113
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-24.922144444444445,25.379527777777778
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-25.77100555555555,25.746941666666668
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-21.191283333333335,26.558608333333336
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-24.574616666666667,24.470277777777778
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-25.28683888888889,25.076666666666668
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-21.24461666666667,26.381666666666668
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-24.615755555555555,24.66147222222222
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-25.222394444444443,25.284719444444445
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-26.054616666666668,26.17944166666667
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-26.008227777777776,26.03888888888889
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-26.941005555555556,27.268608333333333
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-26.68517222222222,26.951941666666663
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-24.72853333333333,25.498972222222225
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-26.238783333333338,26.343608333333332
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-21.081005555555556,26.72305555555555
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-26.809338888888888,27.110277777777775
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-26.374616666666668,26.49138888888889
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-22.777116666666664,26.401941666666666
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-27.038783333333335,27.41638888888889
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-25.034519444444445,25.325916666666668
