Site,File,Skew,Lat,Lon,Is1D,Tectonic_Unit
SAMTEX.kap006.2003,SAMTEX.kap006.2003.edi,0.0898644720476081,-31.672394444444446,20.921108333333333,True,mesoproterozoic_belts
SAMTEX.CPV002.2006,SAMTEX.CPV002.2006.edi,0.0899340572836463,-17.878144444444445,19.337302777777776,True,paleoproterozoic_shields
SAMTEX.bot410.2005,SAMTEX.bot410.2005.edi,0.0899901788574125,-23.853505555555557,25.69555555555555,True,archean
SAMTEX.kof008.2004,SAMTEX.kof008.2004.edi,0.0901796756842982,-28.104166666666668,25.966666666666665,True,archean
SAMTEX.kof006.2004,SAMTEX.kof006.2004.edi,0.0911816583460144,-28.37638888888889,25.650555555555552,True,archean
SAMTEX.kof007.2004,SAMTEX.kof007.2004.edi,0.0918052396244059,-28.27545,25.809166666666663,True,archean
SAMTEX.wita42.2005,SAMTEX.wita42.2005.edi,0.0919434092897888,-27.019366666666667,27.677583333333335,True,archean
SAMTEX.rtz424.2005,SAMTEX.rtz424.2005.edi,0.0921117093019792,-22.761311111111112,20.217858333333332,True,paleoproterozoic_shields
SAMTEX.dmb102A.2006,SAMTEX.dmb102A.2006.edi,0.0924042998151572,-18.012866666666667,18.000080555555556,True,paleoproterozoic_shields
SAMTEX.kim020.2003-2006,SAMTEX.kim020.2003-2006.edi,0.0925468697248831,-30.079366666666665,26.169530555555557,True,archean
SAMTEX.k2g013.2006,SAMTEX.k2g013.2006.edi,0.0932145479376478,-23.49950555555556,22.604861111111113,True,archean
SAMTEX.GIB004A.2008,SAMTEX.GIB004A.2008.edi,0.0932720108403133,-24.72545,19.24286111111111,True,paleoproterozoic_shields
SAMTEX.k2g007.2006,SAMTEX.k2g007.2006.edi,0.0934017439673887,-22.634866666666667,21.92005277777778,True,paleoproterozoic_belts
SAMTEX.mak010.2006,SAMTEX.mak010.2006.edi,0.0934637954028879,-20.18783888888889,24.34230277777778,True,paleoproterozoic_shields
SAMTEX.oka006.2006,SAMTEX.oka006.2006.edi,0.0955936823610722,-19.7157,22.193136111111112,True,neoproterozoic
SAMTEX.CPV029.2006,SAMTEX.CPV029.2006.edi,0.0957285105210336,-17.638394444444444,24.212552777777777,True,neoproterozoic
SAMTEX.mol107.2005,SAMTEX.mol107.2005.edi,0.0979491016648947,-23.566666666666663,24.721944444444443,True,archean
SAMTEX.rtz418.2005,SAMTEX.rtz418.2005.edi,0.0981763053462441,-23.531941666666665,20.765,True,paleoproterozoic_shields
SAMTEX.kal020.2008,SAMTEX.kal020.2008.edi,0.0984772175203566,-22.27667222222222,25.204580555555555,True,limpopo
PRIDE.ZAM31B_RH_ZAM39B.2011-2012,PRIDE.ZAM31B_RH_ZAM39B.2011-2012.edi,0.0991210338773864,-14.966080555555555,24.319666666666667,True,neoproterozoic
SAMTEX.mol101.2005,SAMTEX.mol101.2005.edi,0.0998393689769028,-24.353608333333337,25.42638888888889,True,archean
SAMTEX.bot408.2005,SAMTEX.bot408.2005.edi,0.1009943128936667,-24.17045,25.603608333333337,True,archean
SAMTEX.RAK019A.2008,SAMTEX.RAK019A.2008.edi,0.1010401117707736,-17.614394444444446,17.78946666666667,True,paleoproterozoic_shields
SAMTEX.san012.2008,SAMTEX.san012.2008.edi,0.1012089843324342,-21.460366666666665,24.14474722222222,True,paleoproterozoic_belts
SAMTEX.bot406.2005,SAMTEX.bot406.2005.edi,0.1017230825663354,-24.523533333333333,25.51897222222222,True,archean
SAMTEX.kim435.2004,SAMTEX.kim435.2004.edi,0.1022002030285583,-23.59381111111111,18.124805555555557,True,paleoproterozoic_shields
SAMTEX.wita40.2005,SAMTEX.wita40.2005.edi,0.1026097085994206,-27.02242222222222,27.60814166666667,True,archean
SAMTEX.k2g006.2006,SAMTEX.k2g006.2006.edi,0.1037161499734006,-22.53017222222222,21.833108333333332,True,paleoproterozoic_belts
SAMTEX.k2g012.2006,SAMTEX.k2g012.2006.edi,0.1051326995022539,-23.36008888888889,22.488666666666667,True,archean
SAMTEX.mak002.2006,SAMTEX.mak002.2006.edi,0.105516470199454,-20.15608888888889,25.842552777777776,True,paleoproterozoic_belts
SAMTEX.kof005.2004,SAMTEX.kof005.2004.edi,0.1077381130397271,-28.54888888888889,25.55027777777778,True,archean
SAMTEX.ELZ291A.2008,SAMTEX.ELZ291A.2008.edi,0.1083042065943136,-17.723783333333333,23.930275,True,neoproterozoic
SAMTEX.k2g003.2006,SAMTEX.k2g003.2006.edi,0.1083804524883289,-22.02608888888889,21.53738611111111,True,paleoproterozoic_shields
SAMTEX.mof117.2005,SAMTEX.mof117.2005.edi,0.1084740250576816,-21.315727777777777,25.456666666666667,True,limpopo
PRIDE.ZAM01B_RH_ZAM03B.2011-2012,PRIDE.ZAM01B_RH_ZAM03B.2011-2012.edi,0.1086254001686341,-17.447219444444446,24.21527777777778,True,neoproterozoic
SAMTEX.zim119.2005,SAMTEX.zim119.2005.edi,0.1086564994512211,-19.884061111111112,26.139719444444445,True,paleoproterozoic_belts
SAMTEX.bot411.2005,SAMTEX.bot411.2005.edi,0.1100953022999221,-23.67322777777778,25.761666666666667,True,archean
SAMTEX.CPV005.2006,SAMTEX.CPV005.2006.edi,0.1104261454258782,-17.923450000000003,19.938525,True,paleoproterozoic_shields
SAMTEX.kap020.2003,SAMTEX.kap020.2003.edi,0.1105621728506604,-29.804616666666668,22.855,True,archean
SAMTEX.kap013.2003,SAMTEX.kap013.2003.edi,0.1115329222588648,-30.73444166666667,21.89110833333333,True,mesoproterozoic_belts
SAMTEX.mof115.2005,SAMTEX.mof115.2005.edi,0.1117755512286376,-21.28795,25.1375,True,limpopo
SAMTEX.bota13.2005,SAMTEX.bota13.2005.edi,0.1119845586838729,-25.59378333333333,25.565830555555557,True,archean
SAMTEX.zim128.2005,SAMTEX.zim128.2005.edi,0.1132391944761656,-18.41933888888889,25.524441666666664,True,mesoproterozoic_belts
SAMTEX.rtz207.2005,SAMTEX.rtz207.2005.edi,0.1134912436593254,-25.39378333333333,24.46333055555555,True,archean
SAMTEX.mof125.2005,SAMTEX.mof125.2005.edi,0.113519561556657,-21.08545,26.913888888888888,True,archean
SAMTEX.dmb004.2006,SAMTEX.dmb004.2006.edi,0.1136137206378848,-18.832116666666668,18.093774999999997,True,paleoproterozoic_shields
SAMTEX.mol108.2005,SAMTEX.mol108.2005.edi,0.1138559835978843,-23.405555555555555,24.666663888888888,True,archean
SAMTEX.botb13.2005,SAMTEX.botb13.2005.edi,0.1139317734755922,-25.41933888888889,25.604166666666668,True,archean
SAMTEX.zim130.2005,SAMTEX.zim130.2005.edi,0.1144831205972998,-18.085727777777777,25.295,True,mesoproterozoic_belts
SAMTEX.mof118.2005,SAMTEX.mof118.2005.edi,0.1160974778666473,-21.31545,25.642219444444443,True,limpopo
SAMTEX.kal001.2008,SAMTEX.kal001.2008.edi,0.1167123201056249,-21.99445,21.751719444444443,True,paleoproterozoic_shields
SAMTEX.kap018.2003,SAMTEX.kap018.2003.edi,0.1171979897886161,-30.084338888888887,22.57138888888889,True,paleoproterozoic_belts
SAMTEX.mof106.2005,SAMTEX.mof106.2005.edi,0.1186736674488316,-20.361283333333336,24.317777777777778,True,paleoproterozoic_shields
SAMTEX.NEN023.2006,SAMTEX.NEN023.2006.edi,0.1187597076168172,-18.10036666666667,19.952441666666665,True,paleoproterozoic_shields
SAMTEX.sso110.2005,SAMTEX.sso110.2005.edi,0.1198878670127654,-22.183888888888887,26.646666666666665,True,limpopo
SAMTEX.rtz411.2005,SAMTEX.rtz411.2005.edi,0.1208928053518497,-24.212777777777777,21.8475,True,paleoproterozoic_shields
SAMTEX.kim436.2004,SAMTEX.kim436.2004.edi,0.1210331918192602,-23.45381111111111,17.959527777777776,True,paleoproterozoic_shields
SAMTEX.zim109.2005,SAMTEX.zim109.2005.edi,0.1212676885092242,-21.04961666666667,27.383888888888887,True,archean
SAMTEX.k2g005.2006,SAMTEX.k2g005.2006.edi,0.1217736554852235,-22.388116666666665,21.718552777777777,True,paleoproterozoic_belts
SAMTEX.win020.2006,SAMTEX.win020.2006.edi,0.1225204416622561,-22.1782,20.377358333333333,True,paleoproterozoic_shields
SAMTEX.win016.2006,SAMTEX.win016.2006.edi,0.1228336277136098,-22.126672222222226,20.77813611111111,True,paleoproterozoic_shields
