File,MedianLogRho_det,MedianRho_det,Nperiods
SAMTEX.bot225.2005.edi,7.125672927730989,13361709.819361743,80
SAMTEX.bot226.2005.edi,8.464866028640522,291712626.0911983,80
SAMTEX.bot227.2005.edi,8.410411690770623,257284232.87509415,72
SAMTEX.bot228.2005.edi,8.307858777699536,203180750.5686521,80
SAMTEX.bot229.2005.edi,8.395214496440733,248534181.94210768,80
SAMTEX.bot230.2005.edi,7.95715614515741,90755930.33874974,72
SAMTEX.bot231.2005.edi,7.477487832288309,30083984.047970325,80
SAMTEX.bot401.2005.edi,9.267755088162724,1852486655.3581119,77
SAMTEX.bot402.2005.edi,7.678803865113953,47731366.188391134,47
SAMTEX.bot403.2005.edi,8.791007889400646,618032030.5511816,88
SAMTEX.bot404.2005.edi,9.229960321030564,1698238176.552721,72
SAMTEX.bot405.2005.edi,8.497853608568498,315051432.0884137,88
SAMTEX.bot406.2005.edi,9.021659695660556,1053376366.9259257,88
SAMTEX.bot407.2005.edi,8.913647921481715,819751830.595896,82
SAMTEX.bot408.2005.edi,8.127286472282014,134056066.55962922,49
SAMTEX.bot409.2005.edi,7.85836720679539,72171745.13441402,49
SAMTEX.bot410.2005.edi,7.9580089948019825,90879777.0727123,72
SAMTEX.bot411.2005.edi,7.966753446558571,92630380.18898936,47
SAMTEX.bot412.2005.edi,7.70514442097887,50715933.18081168,47
SAMTEX.bot413.2005.edi,7.9950971141495195,98878207.00769666,72
SAMTEX.bot414.2005.edi,8.032383238164684,107741554.72059697,49
SAMTEX.bot415.2005.edi,8.475241635303579,298710513.3657847,84
SAMTEX.bot416.2005.edi,9.485401129175957,3057744045.8868065,81
SAMTEX.bot417.2005.edi,8.068974302729085,117212600.86210266,49
SAMTEX.bot418.2005.edi,8.074085497443868,118600220.76767293,49
SAMTEX.bot419.2005.edi,8.001504174419043,100346949.44051684,71
SAMTEX.bot420.2005.edi,7.711956465626944,51542815.186205566,84
SAMTEX.bota13.2005.edi,8.681691401452506,480497797.67390066,47
SAMTEX.botb13.2005.edi,9.451272386788435,2826652277.735247,47
SAMTEX.dmb001.2006.edi,6.51526744860319,3275423.4094498297,49
SAMTEX.dmb002.2006.edi,6.877358465594238,7540451.190077441,88
SAMTEX.dmb003.2006.edi,7.013044511768878,10304917.323275715,49
SAMTEX.dmb004.2006.edi,6.6465441108092875,4431432.239703141,88
SAMTEX.dmb005.2006.edi,7.496918740672429,31399653.515298415,84
SAMTEX.dmb006.2006.edi,7.974208960829875,94241423.82833584,88
SAMTEX.dmb007.2006.edi,8.822777457717429,664970643.147926,84
SAMTEX.dmb008.2006.edi,8.03706088078131,108908275.37161218,49
SAMTEX.dmb009.2006.edi,8.263374656576511,183419983.7558155,84
SAMTEX.dmb010.2006.edi,7.448659950577479,28096999.942197483,49
SAMTEX.dmb011.2006.edi,6.884575289246807,7666114.283220483,49
SAMTEX.dmb012.2006.edi,6.829220154525348,6750129.890093963,88
SAMTEX.dmb013.2006.edi,6.965860801876055,9246880.87584703,84
SAMTEX.dmb014.2006.edi,7.402463415775479,25301997.56822634,86
SAMTEX.dmb015.2006.edi,7.210218459808948,16252920.060422145,84
SAMTEX.dmb016.2006.edi,7.992064842071002,98194384.53753935,88
SAMTEX.dmb017.2006.edi,8.559449929454624,362618476.93726957,49
SAMTEX.dmb018.2006.edi,8.32128506515803,209614819.16124934,88
SAMTEX.dmb019.2006.edi,8.025446015230722,106034212.48558384,49
SAMTEX.dmb020.2006.edi,7.77759745381441,59934748.812274575,88
SAMTEX.dmb021.2006.edi,8.560986209258985,363903480.42354906,49
SAMTEX.dmb022.2006.edi,8.963143706408754,918667667.1065683,88
SAMTEX.dmb023.2006.edi,9.035089615210287,1084150601.7836618,49
SAMTEX.dmb024.2006.edi,8.41415532021894,259668673.98558506,88
SAMTEX.dmb025.2006.edi,8.043984015789183,110658305.54326688,49
SAMTEX.dmb026.2006.edi,7.7279739024944085,53453244.94697237,88
SAMTEX.dmb027.2006.edi,7.621577048595081,41838590.83075935,49
SAMTEX.dmb028.2006.edi,7.323709277147992,21072579.48052357,88
SAMTEX.dmb029.2006.edi,7.536309444348264,34381156.42408933,84
SAMTEX.dmb030.2006.edi,7.537761948462935,34503715.550852895,88
SAMTEX.dmb031.2006.edi,7.6581086014759014,45511344.52653469,84
SAMTEX.dmb032.2006.edi,7.652755826946001,44952704.658466116,49
SAMTEX.dmb033.2006.edi,7.663764816731165,46116044.82382772,84
SAMTEX.dmb034.2006.edi,7.4603960986222795,28866630.862035558,49
SAMTEX.dmb035.2006.edi,7.471623660583081,29622633.172607742,49
SAMTEX.dmb101A.2006.edi,7.043400290874386,11061069.480966989,84
SAMTEX.dmb102A.2006.edi,6.8338378303707215,6823749.82118444,88
SAMTEX.k2g002.2006.edi,8.702030060968422,503555553.3246385,84
SAMTEX.k2g003.2006.edi,9.04368070095482,1105897192.0354934,84
SAMTEX.k2g004.2006.edi,8.923483945350547,838463082.4193593,87
SAMTEX.k2g005.2006.edi,9.30660043268675,2025831717.5309355,88
SAMTEX.k2g006.2006.edi,9.098144642044542,1253585025.9967835,84
SAMTEX.k2g007.2006.edi,8.56910411184754,370786622.3891665,84
SAMTEX.k2g008.2006.edi,7.315383767238225,20725182.3926913,62
SAMTEX.k2g009.2006.edi,7.5314570424729945,33998287.52918603,79
SAMTEX.k2g010.2006.edi,7.354945401369306,22648996.99587097,84
SAMTEX.k2g011.2006.edi,7.513498803331959,32664517.229433395,84
SAMTEX.k2g012.2006.edi,7.595436091402265,39460237.55674647,82
SAMTEX.k2g013.2006.edi,7.761562831256303,57751441.81727524,83
SAMTEX.k2g014.2006.edi,7.5134655650392626,32690302.781797443,82
SAMTEX.kal001.2008.edi,8.9912236796089,980017184.1839945,84
SAMTEX.kal002.2008.edi,8.496005084900752,313339961.3783841,84
SAMTEX.kal003.2008.edi,8.819451683692531,659868548.9340076,84
SAMTEX.kal004.2008.edi,8.546987757160213,352376472.0085981,84
SAMTEX.kal005.2008.edi,7.912869136769549,81825901.41684318,88
SAMTEX.kal006.2008.edi,7.476944248171465,29994987.734591305,84
SAMTEX.kal007.2008.edi,7.624468129554337,42119928.35115114,88
SAMTEX.kal008.2008.edi,7.837231478666811,68769782.3023047,84
