Site,File,Skew,Is1D
"Zimbabwe, Africa",SAMTEX.zim127.2005.edi,0.12295015627723237,True
"Botswana, Africa",SAMTEX.bot222.2005.edi,0.12375527403519304,True
"Windhoek, Namibia, Africa",SAMTEX.win024.2006.edi,0.12391669757246326,True
"Makgadikgadi Park, Botswana, Africa",SAMTEX.mak003.2006.edi,0.1241325945684416,True
"Botswana, Africa",SAMTEX.mof105.2005.edi,0.12445774973512061,True
South Africa,SAMTEX.kap010.2003.edi,0.12458285855662408,True
"Kweneng, Botswana, Africa",SAMTEX.mol104.2005.edi,0.124738818240956,True
"Kimberley, South Africa",SAMTEX.kim418.2004.edi,0.12479856723741671,True
"Windhoek, Namibia, Africa",SAMTEX.win018.2006.edi,0.12564453252481647,True
"NE Namibia, Africa",SAMTEX.CPV008.2006.edi,0.12620195805234652,True
"Botswana, Africa",SAMTEX.mof102.2005.edi,0.1274818142121939,True
"Okavango Lake, Botswana, Africa",SAMTEX.oka004.2006.edi,0.1275949712477062,True
"Kang to Ghazi, Botswana, Africa",SAMTEX.k2g014.2006.edi,0.1286427377068206,True
"Kimberley, South Africa",SAMTEX.kim215.2003-2006.edi,0.12869022238349287,True
"Barotse Basin, Western Province, Zambia",PRIDE.ZAM001A_RH_ZAM00.2011-2012.edi,0.13013872385950237,True
"NE Namibia, Africa",SAMTEX.CPV003.2006.edi,0.13229315001350533,True
"Namibia, Africa",SAMTEX.ETO012A.2008.edi,0.13249657470861564,True
"Namibia, Africa",SAMTEX.dmb032.2006.edi,0.13307798127502818,True
"Kimberley, South Africa",SAMTEX.kim421.2004.edi,0.1331452080881487,True
South Africa,SAMTEX.kap034.2003.edi,0.13436414193115673,True
"Kimberley, South Africa",SAMTEX.kim009_H.2003-2006.edi,0.1351930328817497,True
"Southern Botswana, Africa",SAMTEX.rtz202.2005.edi,0.13545674814466452,True
"Barotse Basin, Western Province, Zambia",PRIDE.ZAM34B_RH_ZAM40B.2011-2012.edi,0.1367845374221247,True
South Africa,SAMTEX.kap012.2003.edi,0.1380222054896833,True
"Weiveld, South Africa",SAMTEX.wita38.2005.edi,0.13810841520736547,True
South Africa,SAMTEX.kap024.2003.edi,0.13810878966636744,True
"Weiveld, South Africa",SAMTEX.wita48.2005.edi,0.1391218844230191,True
"Botswana, Africa",SAMTEX.bot412.2005.edi,0.13914330781072193,True
"Botswana, Africa",SAMTEX.mof127.2005.edi,0.14019788486674353,True
"Okavango Lake, Botswana, Africa",SAMTEX.oka008.2006.edi,0.14030785057804396,True
"Kalahari Game Reserve, Botswana, Africa",SAMTEX.kal014.2008.edi,0.14069402022650424,True
"Hardap Region, Namibia, Africa",SAMTEX.GIB018a.true.2008.edi,0.141092977330063,True
"Zimbabwe, Africa",SAMTEX.zim126.2005.edi,0.14116899473585057,True
"NE Namibia, Africa",SAMTEX.CPV027.2006.edi,0.14131651808951648,True
"Namibia, Africa",SAMTEX.dmb101A.2006.edi,0.14153317773235022,True
South Africa,SAMTEX.kap042.2003.edi,0.14259161100950277,True
"Namibia, Africa",SAMTEX.dmb029.2006.edi,0.14277289010430336,True
South Africa,SAMTEX.kap023.2003.edi,0.1433298747403871,True
South Africa,SAMTEX.kap017.2003.edi,0.14346825571647945,True
"Central Botswana, Africa",SAMTEX.san001.2008.edi,0.14366366403148578,True
"Northern Namibia, Africa",SAMTEX.RAK011A.2008.edi,0.14439653728150784,True
"Botswana, Africa",SAMTEX.mof120.2005.edi,0.14567663868824213,True
"Windhoek, Namibia, Africa",SAMTEX.win004.2006.edi,0.14577328876826204,True
"Barotse Basin, Western Province, Zambia",PRIDE.ZAM21B_RH_ZAM20B.2011-2012.edi,0.1465850622864999,True
"Barotse Basin, Western Province, Zambia",PRIDE.ZAM011A_RH_ZAM00.2011-2012.edi,0.14669564023314985,True
"Namibia, Africa",SAMTEX.ETO013A.2008.edi,0.14680898075650176,True
"Botswana, Africa",SAMTEX.bot205.2005.edi,0.14743087985279132,True
"Kimberley, South Africa",SAMTEX.kim016.2003-2006.edi,0.14827860119234262,True
"Kimberley, South Africa",SAMTEX.kim411.2004.edi,0.1484355516524298,True
South Africa,SAMTEX.kap060.2003.edi,0.148547379737916,True
"Namibia, Africa",SAMTEX.dmb017.2006.edi,0.14865105320295927,True
"Smithfield, South Africa",SAMTEX.KXT003A_auto.tru.2008.edi,0.14932337427208664,True
"Makgadikgadi Park, Botswana, Africa",SAMTEX.mak008.2006.edi,0.15012082642241778,True
South Africa,SAMTEX.kap003.2003.edi,0.15024650767264086,True
South Africa,SAMTEX.kap005.2003.edi,0.1510264825233198,True
"Namibia, Africa",SAMTEX.dmb010.2006.edi,0.1510779682487587,True
"Klerksdorp, South Africa",SAMTEX.wita16.2004.edi,0.1511578929022075,True
"Orapa, Botswana, Africa",SAMTEX.sso102.2005.edi,0.15161071536390458,True
South Africa,SAMTEX.kap068.2003.edi,0.15194235099391765,True
South Africa,SAMTEX.kap067.2003.edi,0.15194239718234395,True
"Windhoek, Namibia, Africa",SAMTEX.win013.2006.edi,0.15238365316289437,True
"Kang to Ghazi, Botswana, Africa",SAMTEX.k2g004.2006.edi,0.15259882697397234,True
"Botswana, Africa",SAMTEX.bot229.2005.edi,0.15271498002839562,True
"Kalahari Game Reserve, Botswana, Africa",SAMTEX.kal010.2008.edi,0.15315800418008296,True
"Tshane, Botswana, Africa",SAMTEX.rtz409.2005.edi,0.153920157633925,True
"Orapa, Botswana, Africa",SAMTEX.sso115.2005.edi,0.15397820493722242,True
South Africa,SAMTEX.kap074.2003.edi,0.1550151917650475,True
"Northern Namibia, Africa",SAMTEX.RAK017A.2008.edi,0.15564603039094393,True
"NE Namibia, Africa",SAMTEX.CPV025.2006.edi,0.1556565230313447,True
"Kalahari Game Reserve, Botswana, Africa",SAMTEX.kal011.2008.edi,0.1565526874070062,True
"Botswana, Africa",SAMTEX.bot416.2005.edi,0.15690118625424757,True
"Hardap Region, Namibia, Africa",SAMTEX.GIB014A.2008.edi,0.15883088307501564,True
"Zimbabwe, Africa",SAMTEX.zim102.2005.edi,0.15889169034976983,True
"Barotse Basin, Western Province, Zambia",PRIDE.ZAM009A_RH_ZAM01.2011-2012.edi,0.1614442938706959,True
"Smithfield, South Africa",SAMTEX.KXT004A_auto.tru.2008.edi,0.16240394881518502,True
"Kalahari Game Reserve, Botswana, Africa",SAMTEX.kal007.2008.edi,0.16284460658869832,True
"Tzaneen, South Africa",SAMTEX.LOW006B_auto.tru.2008.edi,0.1630055326209186,True
"Zimbabwe, Africa",SAMTEX.zim108.2005.edi,0.16364071230146052,True
"Makgadikgadi Park, Botswana, Africa",SAMTEX.mak004.2006.edi,0.16378200900781487,True
